Category ID,Category,Subcategory ID,Subcategory,Desirability
73C2338,Готовая еда,73C10301,Горячие напитки,1
73C2338,Готовая еда,73C9714,"Блинчики, сырники и каши",4
73C2338,Готовая еда,73C9715,Сэндвичи и бургеры,3
73C2338,Готовая еда,73C6771,Суши и роллы,3
73C2338,Готовая еда,73C9718,Основные блюда,3
73C2338,Готовая еда,73C2459,Супы,3
73C2338,Готовая еда,73C2458,Салаты,3
73C2338,Готовая еда,73C6802,Закуски,3
73C2338,Готовая еда,73C6770,Напитки,2
73C2338,Готовая еда,73C9719,Замороженная готовая еда,3
73C2338,Готовая еда,73C2460,Тесто и лапша,4
73C10467,Горячий кофе с доставкой,73C10468,Кофе,1
73C9968,Наша пекарня,73C10741,Горячая пицца,2
73C9968,Наша пекарня,73C9969,Сладкая выпечка,2
73C9968,Наша пекарня,73C9970,Сытная выпечка,2
73C9968,Наша пекарня,73C9971,Хлеб и багеты,4
73C9968,Наша пекарня,73C14594,Выпекаем дома,2
73C2327,Хлеб и выпечка,73C10432,Белый хлеб,3
73C2327,Хлеб и выпечка,73C10433,Ржаной хлеб,5
73C2327,Хлеб и выпечка,73C10434,Зерновой хлеб,5
73C2327,Хлеб и выпечка,73C10579,Прочий хлеб,5
73C2327,Хлеб и выпечка,73C9737,"Лаваш, лепешки",6
73C2327,Хлеб и выпечка,73C10349,Булочки для гамбургеров и хот-догов,3
73C2327,Хлеб и выпечка,73C6917,"Пироги, пирожки, выпечка, бисквиты",2
73C2327,Хлеб и выпечка,73C9738,"Соломка, крекеры, хлебные палочки",4
73C2327,Хлеб и выпечка,73C9739,Хлебцы,5
73C2327,Хлеб и выпечка,73C2380,Наша пекарня,3
73C2327,Хлеб и выпечка,73C9740,"Сушки, баранки, бублики",3
73C2327,Хлеб и выпечка,73C9741,Сухари,2
73C2327,Хлеб и выпечка,73C9742,Тарталетки,2
73C10314,"Фрукты, ягоды и орехи",73C11970,Самый сезон,7
73C10314,"Фрукты, ягоды и орехи",73C10318,Бананы,8
73C10314,"Фрукты, ягоды и орехи",73C10320,Яблоки,8
73C10314,"Фрукты, ягоды и орехи",73C10322,Цитрусовые,8
73C10314,"Фрукты, ягоды и орехи",73C10323,Груши и айва,8
73C10314,"Фрукты, ягоды и орехи",73C10324,Экзотические фрукты,5
73C10314,"Фрукты, ягоды и орехи",73C10325,Ягоды,6
73C10314,"Фрукты, ягоды и орехи",73C10327,Орехи,7
73C10314,"Фрукты, ягоды и орехи",73C10328,Сухофрукты,4
73C10314,"Фрукты, ягоды и орехи",73C10329,Семечки,2
73C10314,"Фрукты, ягоды и орехи",73C10330,Авокадо,5
73C10315,Овощи и зелень,73C11969,Самый сезон,5
73C10315,Овощи и зелень,73C10331,Помидоры,8
73C10315,Овощи и зелень,73C10332,Огурцы,8
73C10315,Овощи и зелень,73C10333,Картофель,9
73C10315,Овощи и зелень,73C10334,Капуста,8
73C10315,Овощи и зелень,73C10335,"Лук, чеснок",8
73C10315,Овощи и зелень,73C10336,Перец,8
73C10315,Овощи и зелень,73C10337,"Морковь, свекла, редька, редис",8
73C10315,Овощи и зелень,73C10338,"Кабачки, баклажаны, тыквы",8
73C10315,Овощи и зелень,73C10348,Имбирь,4
73C10315,Овощи и зелень,73C10339,Авокадо,5
73C10315,Овощи и зелень,73C10341,Зелень,7
73C10315,Овощи и зелень,73C10342,Салаты зеленые,8
73C10315,Овощи и зелень,73C10343,Обработанные овощи,4
73C10315,Овощи и зелень,73C10345,Грибы,5
73C10315,Овощи и зелень,73C10346,Соленья,5
73C10315,Овощи и зелень,73C10347,Овощные соусы,3
73C2339,Сладости,73C11757,Качество и выгода от Пятёрочки,1
73C2339,Сладости,73C2463,Шоколадные плитки,3
73C2339,Сладости,73C9746,Шоколадные и вафельные батончики,2
73C2339,Сладости,73C10790,Конфеты в коробках,2
73C2339,Сладости,73C9749,Конфеты весовые,2
73C2339,Сладости,73C2472,Конфеты в упаковках,2
73C2339,Сладости,73C9747,Шоколадные яйца и фигурки,2
73C2339,Сладости,73C9748,Жевательные конфеты и драже,2
73C2339,Сладости,73C12413,"Карамель, леденцы",2
