Product Name,Score
Напиток Черноголовка Кола без сахара газированный 1.5л,4.0
Биотворог Верховье Персик 4.2% 120г,8.0
Лимоны,7.67
Кефир ЭкоНива 3.2% БЗМЖ 1кг,8.0
Фасоль Bonduelle печеная со сладким перцем 360г,8.0
Суп гороховый с копченостями Пятерочка Кафе 250г,5.67
Пломбир Коровка из Кореновки ванильный 15% БЗМЖ 80г,7.0
Колбаса Клинский Испанская сырокопченая полусухая 85г,4.67
Икра мойвы Санта Бремор с копченым лососем 180г,7.0
Пирожное Kinder Maxi King орехи и Карамель 35г,5.0
Макароны Pasteroni Грандине Птитим №122 400г,8.67
Чиабатта Рустик 290г,6.67
Жевательная резинка Mentos Pure Fresh виноград 15.5г,3.0
Хлеб Коломенское Даниловский зерновой 300г,7.33
Перец Kotanyi черный молотый 20г,10.0
Корица Dr. Bakers молотая 8г,4.0
Десерт творожный Ростагрокомплекс Чизкейк клубничный 15% 40г,7.33
Гранат,8.67
Набор кондитерских изделий Рот Фронт Фонарик новогодний 250г,3.0
Багет Традиционный замороженный п/ф 260г,4.67
Сыр Violette Сливочный творожный 70% БЗМЖ 140г,6.67
Биойогурт Сарафаново Клубника 3.1% 125г,8.0
Сметана Ростагроэкспорт 15% БЗМЖ 320г,8.0
Десерт Чудо творожный вкус пломбир с соусом соленая карамель 4.2% БЗМЖ 100г,7.0
Молоко Лебедяньмолоко 3.2% БЗМЖ 900г,8.0
Сыр твёрдый LiebenDorf Голландский тертый 45% БЗМЖ 200г,7.33
Колбаса Рублевский Брауншвейгская сырокопченая,7.0
Салями Мясная Ферма сырокопченая полусухая 150г,6.0
Мясные консервы Снов свинина тушеная 338г,6.67
Рулет Шарлиз бисквитный с кремом вареная сгущенка 200г,5.67
Соус Astoria Тартар 30% 200г,5.33
Баранки Зерница Сахарные с маком 350г,7.67
Чипсы Яблоков яблочные 25г,7.0
Лапша Домшим со вкусом Говядины быстрого приготовления 90г,6.33
Фарш Мираторг говяжий охлажденный 400г,8.0
Сэндвич-ролл с курицей том ям Пятерочка Кафе 195г,5.33
"Плитки шоколада Коркунов молочный, темный, молочный с дробленым фундуком 87г",8.0
Крупа Увелка гречневая ядрица 450г,8.0
Карамель Lenco Монстрики Ассорти леденцовая 11г,3.67
"Онигири с угрем, курицей и шампиньонами Пятерочка Кафе 110г",7.67
Батончик Gerber Банан и яблоко фруктово-злаковый с 12 мес. 25г,6.33
Пицца Красная Цена Колбаса 300г,3.0
Салат Грин Микс с курицей и шампиньонами Пятерочка Кафе 150г,8.0
Тоник Rich Mандарин газированный 1л,5.67
Шампиньоны Global Village 250г,8.0
Шоколад Milka с цельным миндалем молочный 80г,6.0
Сыр полутвердый ЭкоНива Щучанский 50% БЗМЖ 200г,7.67
Горбуша Вкусное море Походная слабосоленая ломтики в масле 120г,7.0
Кофе растворимый Monarch Miligrano натуральный сублимированный c добавлением натурального жареного молотого 90г,6.67
Сгущенное молоко Станция Молочная цельное с сахаром 8.5% БЗМЖ 360г,3.0
Хлебушек заварной бездрожжевой замороженный п/ф 350г,7.33
Сок J7 Апельсиновый с мякотью 0.3л,7.0
Вафли Cuisine royale сливочные рифленые 120г,6.67
Крабовое мясо Русское море имитация охлажденное 200г,6.0
Драже Skittles кисломикс 38г,3.33
Салат Трио латук в горшочке 260г,6.67
Нектар Global Village вишня 200мл,6.0
Макароны Makfa ракушки 450г,7.67
Набор молочного шоколада Milka Открытка с новым годом 170г,7.33
Форель Балтийский берег филе-кусок слабосоленая 200г,6.67
Драже M&M's с арахисом и молочным шоколадом 80г,4.67
Колбаса Папа может Охотничья сырокопченая полусухая 220г,7.0
