Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Ingredients,Desirability
Хлеб Сибирский пекарь зерновой мультизлаковый со льном нарезка 280г,4103219,шт,1.0,4.9,5389,65.99,280 г,280.0,6.2,2.3,48.9,228.0,"вода, ржаная мука, ржаные хлопья, пшеничные хлопья, крупа перловая, лен, солод ржаной (проросшее зерно ржи), крупа овсяная, патока ржаная, соль, дрожжи прессованные",5
Кофе Большой Американо 230мл,78034284,шт,1.0,4.81,208,49.99,230 мл,230.0,0.41,0.42,0.09,5.78,"вода питьевая, кофе натуральный жареный в зернах",1
Булочка с корицей замороженная п/ф 90г,4200588,шт,1.0,4.81,352,39.99,90 г,90.0,5.5,27.0,45.0,450.0,"Мука пшеничная хлебопекарная высшего сорта, маргарин (рафинированные дезодорированные растительные масла (пальмовое, модифицированное пальмовое, подсолнечное), вода, эмульгаторы (E471, E433, лецитины (соевые)), соль, консерванты (E200, E211), ароматизатор, краситель (E160а), регулятор кислотности (E330)), маргарин для слоеного теста (рафинированные дезодорированные растительные масла (пальмовое, модифицированное пальмовое), вода, эмульгаторы (E472с, E475), соль, консервант (E200), регулятор кислотности - лимонная кислота), вода питьевая, сахар, дрожжи хлебопекарные, сахар для посыпки, концентрат пищевой (сахар, загуститель (E1414), сыворотка молочная сухая, молоко сухое обезжиренное, заменитель сливок на растительной основе (растительный жир (кокосовый), крахмальная патока из кукурузы, молочный белок, регулятор кислотности (E451), антислеживающий агент E551), соль, эмульгатор (E481),стабилизатор (E401), ароматизатор), комплексная пищевая добавка: улучшитель хлебопекарный (пшеничная клейковина, эмульгатор (E472е), антиокислитель (E300), ферментный препарат микробного происхождения: альфа-амилаза, гемицеллюлаза), меланж яичный жидкий, корица, соль пищевая (соль, агент антислеживающий Е536).

Продукция производится на предприятии, где используются аллергены: кунжут, арахис и продукты их переработки.",2
Груши Конференция,50911,кг,0.5,4.9,42257,299.99,Цена за 1 кг,500.0,0.4,0.3,10.3,47.0,груша конференция,8
Рулетики из ветчины с сыром Пятерочка Кафе 150г,4308912,шт,1.0,4.86,4683,159.99,150 г,150.0,13.1,27.8,3.2,315.0,"ветчина из мяса птицы [филе индейки, филе курицы, вода, свинина, крахмал картофельный, соевый белок, шкура свиная, соль, стабилизатор Е407, загустители: ксантановая камедь, конжаковая камедь, регуляторы кислотности: Е451, Е262, Е331, антиокислитель Е316, желирующий агент Е508, мальтодекстрин, декстроза, усилитель вкуса и аромата Е621, ароматизатор, гемоглобин, чеснок, краситель кармины, фиксатор окраски Е250], сыр полутвердый  [молоко питьевое, закваска мезофильных молочнокислых микроорганизмов, соль, краситель аннато, ферментный препарат животного происхождения], майонез [масло подсолнечное, вода, сахар, яичный желток, соль, уксус, горчичное масло, краситель каротины], яйцо куриное маринованное [яйцо куриное отварное, маринад: регулятор кислотности уксусная кислота, соль], зелень петрушки, чеснок, зелень укропа.

На предприятии изготавливают продукты содержащие аллергены: рыбу, сельдерей,
глютен, орехи, арахис, кунжут, ракообразные, моллюски, сульфиты.",3
Сэндвич куриный с беконом Пятерочка Кафе 185г,4344431,шт,1.0,4.84,5505,179.99,185 г,185.0,8.1,16.2,21.6,264.0,"хлеб тостовый пшеничный (мука пшеничная хлебопекарная высшего сорта, вода, масло подсолнечное, дрожжи хлебопекарные, соль, сахар, молоко сухое цельное, комплексная пищевая добавка (мука пшеничная, эмульгатор Е481, мука соевая полножирная, антиокислитель Е300, консервант Е282)), рулет куриный (филе куриное, бедро куриное, вода, соль, молочный белок, стабилизатор Е450, регуляторы кислотности Е451, Е262, Е331, агент влагоудерживающий Е325, перец черный молотый, чеснок, декстроза, усилитель вкуса и аромата Е621, антиокислитель Е301), майонез (масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель Е1422, консервант Е200, стабилизаторы: Е415, Е412, ароматизатор, краситель каротины), белок яичный, капуста китайская, бекон жареный (свинина, вода, регулятор кислотности Е326, нитритно-посолочная смесь (соль, фиксатор окраски Е250), комплексная пищевая добавка (ароматизатор, водный раствор натурального жидкого дыма, эмульгатор Е433), комплексная пищевая добавка (ароматизаторы, регулятор кислотности Е340ii), комплексная пищевая добавка (антиокислитель Е301, натуральный ароматизатор), сухой глюкозный сироп, регулятор кислотности Е451i, ароматизатор натуральный), соус на основе растительных масел (вода, масло подсолнечное, сахар, томатная паста, уксус, загустители: Е1442, Е451, Е1450, соль, яичный желток, чеснок сушеный, лук сушеный, паприка, кориандр, перец кайенский, черный перец, ароматизаторы (содержат коптильный ароматизатор), консерванты: Е200, Е385, регулятор кислотности Е262), загустители: Е415, Е412.

На предприятии изготавливаются продукты, содержащие аллергены: рыбу, сельдерей, горчицу, орехи, арахис, кунжут, ракообразные, моллюски, сульфиты.",3
Салат Оливье Пятерочка Кафе 200г,4316740,шт,1.0,4.84,6260,139.99,200 г,200.0,5.4,10.9,6.5,146.0,"картофель отварной, колбаса вареная [свинина, говядина, вода, соль, молоко сухое цельное, сухой яичный меланж, регуляторы кислотности: Е450iii, Е451i, сахар, антиокислитель аскорбиновая кислота, мускатный орех, усилитель вкуса и аромата Е621, фиксатор окраски нитрит натрия], яйцо куриное маринованное [яйцо куриное отварное, маринад: регулятор кислотности уксусная кислота, соль], горошек консервированный [горошек зеленый, маринад: сахар, соль], майонез [масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель Е1422, консервант сорбиновая кислота, стабилизаторы: ксантановая камедь, гуаровая камедь, ароматизатор, краситель каротины], морковь отварная, огурцы маринованные [огурцы, маринад: сахар, соль, регулятор кислотности уксусная кислота, пряности], огурцы свежие, соль, консерванты: Е211, Е202. 
Продукция производится на предприятии, где используются аллергены: соя, рыба, сельдерей, глютен, горчица, орехи, арахис, кунжут, ракообразные, моллюски, сульфиты",3
Улитка с корицей 80г,78031990,шт,1.0,4.89,42726,39.99,80 г,80.0,5.6,26.8,45.4,445.0,"мука пшеничная хлебопекарная высшего сорта, вода питьевая, маргарин (рафинированные дезодорированные растительные масла, вода, эмульгаторы (Е472c, Е475), соль, консервант Е200, регулятор кислотности лимонная кислота), маргарин (рафинированные дезодорированные растительные масла, вода, эмульгаторы (Е471, Е433, соевый лецитин), соль, консерванты (Е200, Е211), ароматизатор, краситель Е160а, регулятор кислотности Е330), сахар, сахар гранулированный, дрожжи хлебопекарные, концентрат пищевой (сахар, загуститель Е1414, сыворотка молочная сухая, молоко сухое обезжиренное, жировой порошок (кокосовый), соль, эмульгатор Е481, краситель Е160а, стабилизатор Е401, ароматизатор), комплексная пищевая добавка (пшеничная клейковина, эмульгатор Е472е, антиокислитель Е300, ферментный препарат микробного происхождения), меланж яичный жидкий, корица, соль (соль, агент антислеживающий Е536). 
Продукт может содержать следы кунжута, арахиса.",2
Кофе с молоком 260мл,78034286,шт,1.0,4.73,102,99.99,260 мл,260.0,5.32,5.33,7.38,98.77,"молоко с м.д.ж. 3,2%, вода питьевая, кофе натуральный жареный в зернах",1
Паста Nutella с добавлением какао ореховая 350г,2157514,шт,1.0,4.94,4309,543.99,350 г,350.0,6.3,30.9,57.5,539.0,"сахар, растительный жир, лесной орех, обезжиренный какао-порошок, сухое обезжиренное молоко, сухая молочная сыворотка, эмульгатор: лецитины, ароматизатор. Содержит молоко, продукты их переработки",2
Онигири Филадельфия с семгой и творожным сыром Пятерочка Кафе 110г,4353020,шт,1.0,4.73,5186,139.99,110 г,110.0,3.6,6.4,30.2,192.8,"рис отварной заправленный [вода, рис, соус для риса (уксус рисовый (уксус рисовый, уксус спиртовой, вода, сахар, соль), сахар, соль), масло рисовое], сёмга с/с [сёмга, соль, сахар], майонез [масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель Е1422, консервант сорбиновая кислота, стабилизаторы: ксантановая камедь, гуаровая камедь, ароматизатор, краситель каротины)], сыр творожный [творог (нормализованное пастеризованное молоко, бактериальная закваска, молокосвертывающий фермент микробного происхождения), загуститель Е1422, соль, стабилизаторы: камедь рожкового дерева, гуаровая камедь, регулятор кислотности лимонная кислота, вода], огурцы свежие, соль, водоросли морские сушёные.

 На предприятии изготавливаются продукты, содержащие аллергены: молоко, сельдерей, глютен, горчица, орехи, соя, арахис, кунжут, ракообразные, моллюски, сульфиты",3
Кофе Латте 330мл,78034281,шт,1.0,4.73,2248,99.99,330 мл,330.0,6.84,6.85,9.65,127.61,"молоко с м.д.ж. 3,2%, вода питьевая, кофе натуральный жареный в зернах",1
Багет Ржаной чесночный замороженный п/ф 200г,4117904,шт,1.0,4.68,140,64.99,200 г,200.0,6.5,14.0,45.1,332.0,"Мука пшеничная хлебопекарная высшего сорта, вода питьевая, мука ржаная обдирная, масло сливочное, соль пищевая молотая, дрожжи прессованные хлебопекарные, чеснок сушеный, экстракт солодовый, петрушка сушеная. 

Содержит злаковые компоненты содержащие клейковину (глютен), продукты переработки молока. Может содержать следы кунжута, семян тыквы, семян подсолнечника, семян льна.",2
Лепешки Mission пшеничные оригинальные 250г,3439566,шт,1.0,4.93,12475,146.99,250 г,250.0,7.0,7.0,46.0,280.0,"мука пшеничная высший сорт, вода, жир специального назначения (рафинированные дезодорированные фракционированные масла: пальмовое, кокосовое, пальмоядровое, эмульгатор моно- и диглицериды жирных кислот, комплексная пищевая добавка антиокислитель (Е319, лимонная кислота)), масло подсолнечное рафинированное дезодорированное в/с, агент влагоудерживающий глицерин, разрыхлители (гидрокарбонат натрия, дигидропирофосфат натрия), регуляторы кислотности (лимонная кислота, яблочная кислота), соль, консерванты (сорбат калия, пропионат кальция, Е223), глютен, стабилизатор Е466, ароматизатор, агенты антислеживающие (фосфат кальция, Е536)",6
