plu,name,uom,step,rating,prices,property_clarification,nutrients,ingredients,desirability
4103219,Хлеб Сибирский пекарь зерновой мультизлаковый со льном нарезка 280г,шт,1.0,"{'rating_average': 4.9, 'rates_count': 5389}","[{'value': '65.99', 'placement_type': 'regular_primary'}]",280 г,"[{'value': '6.2', 'text': 'белки'}, {'value': '2.3', 'text': 'жиры'}, {'value': '48.9', 'text': 'углеводы'}, {'value': '228.0', 'text': 'ккал'}]","вода, ржаная мука, ржаные хлопья, пшеничные хлопья, крупа перловая, лен, солод ржаной (проросшее зерно ржи), крупа овсяная, патока ржаная, соль, дрожжи прессованные",5
78034284,Кофе Большой Американо 230мл,шт,1.0,"{'rating_average': 4.81, 'rates_count': 208}","[{'value': '49.99', 'placement_type': 'regular_primary'}]",230 мл,"[{'value': '0.41', 'text': 'белки'}, {'value': '0.42', 'text': 'жиры'}, {'value': '0.09', 'text': 'углеводы'}, {'value': '5.78', 'text': 'ккал'}]","вода питьевая, кофе натуральный жареный в зернах",1
4200588,Булочка с корицей замороженная п/ф 90г,шт,1.0,"{'rating_average': 4.81, 'rates_count': 352}","[{'value': '39.99', 'placement_type': 'regular_primary'}]",90 г,"[{'value': '5.5', 'text': 'белки'}, {'value': '27.0', 'text': 'жиры'}, {'value': '45.0', 'text': 'углеводы'}, {'value': '450.0', 'text': 'ккал'}]","Мука пшеничная хлебопекарная высшего сорта, маргарин (рафинированные дезодорированные растительные масла (пальмовое, модифицированное пальмовое, подсолнечное), вода, эмульгаторы (E471, E433, лецитины (соевые)), соль, консерванты (E200, E211), ароматизатор, краситель (E160а), регулятор кислотности (E330)), маргарин для слоеного теста (рафинированные дезодорированные растительные масла (пальмовое, модифицированное пальмовое), вода, эмульгаторы (E472с, E475), соль, консервант (E200), регулятор кислотности - лимонная кислота), вода питьевая, сахар, дрожжи хлебопекарные, сахар для посыпки, концентрат пищевой (сахар, загуститель (E1414), сыворотка молочная сухая, молоко сухое обезжиренное, заменитель сливок на растительной основе (растительный жир (кокосовый), крахмальная патока из кукурузы, молочный белок, регулятор кислотности (E451), антислеживающий агент E551), соль, эмульгатор (E481),стабилизатор (E401), ароматизатор), комплексная пищевая добавка: улучшитель хлебопекарный (пшеничная клейковина, эмульгатор (E472е), антиокислитель (E300), ферментный препарат микробного происхождения: альфа-амилаза, гемицеллюлаза), меланж яичный жидкий, корица, соль пищевая (соль, агент антислеживающий Е536).

Продукция производится на предприятии, где используются аллергены: кунжут, арахис и продукты их переработки.",2
50911,Груши Конференция,кг,0.5,"{'rating_average': 4.9, 'rates_count': 42257}","[{'value': '299.99', 'placement_type': 'regular_primary'}]",Цена за 1 кг,"[{'value': '0.4', 'text': 'белки'}, {'value': '0.3', 'text': 'жиры'}, {'value': '10.3', 'text': 'углеводы'}, {'value': '47.0', 'text': 'ккал'}]",груша конференция,8
4308912,Рулетики из ветчины с сыром Пятерочка Кафе 150г,шт,1.0,"{'rating_average': 4.86, 'rates_count': 4683}","[{'value': '159.99', 'placement_type': 'regular_primary'}]",150 г,"[{'value': '13.1', 'text': 'белки'}, {'value': '27.8', 'text': 'жиры'}, {'value': '3.2', 'text': 'углеводы'}, {'value': '315.0', 'text': 'ккал'}]","ветчина из мяса птицы [филе индейки, филе курицы, вода, свинина, крахмал картофельный, соевый белок, шкура свиная, соль, стабилизатор Е407, загустители: ксантановая камедь, конжаковая камедь, регуляторы кислотности: Е451, Е262, Е331, антиокислитель Е316, желирующий агент Е508, мальтодекстрин, декстроза, усилитель вкуса и аромата Е621, ароматизатор, гемоглобин, чеснок, краситель кармины, фиксатор окраски Е250], сыр полутвердый  [молоко питьевое, закваска мезофильных молочнокислых микроорганизмов, соль, краситель аннато, ферментный препарат животного происхождения], майонез [масло подсолнечное, вода, сахар, яичный желток, соль, уксус, горчичное масло, краситель каротины], яйцо куриное маринованное [яйцо куриное отварное, маринад: регулятор кислотности уксусная кислота, соль], зелень петрушки, чеснок, зелень укропа.

На предприятии изготавливают продукты содержащие аллергены: рыбу, сельдерей,
глютен, орехи, арахис, кунжут, ракообразные, моллюски, сульфиты.",3
4344431,Сэндвич куриный с беконом Пятерочка Кафе 185г,шт,1.0,"{'rating_average': 4.84, 'rates_count': 5505}","[{'value': '179.99', 'placement_type': 'regular_primary'}]",185 г,"[{'value': '8.1', 'text': 'белки'}, {'value': '16.2', 'text': 'жиры'}, {'value': '21.6', 'text': 'углеводы'}, {'value': '264.0', 'text': 'ккал'}]","хлеб тостовый пшеничный (мука пшеничная хлебопекарная высшего сорта, вода, масло подсолнечное, дрожжи хлебопекарные, соль, сахар, молоко сухое цельное, комплексная пищевая добавка (мука пшеничная, эмульгатор Е481, мука соевая полножирная, антиокислитель Е300, консервант Е282)), рулет куриный (филе куриное, бедро куриное, вода, соль, молочный белок, стабилизатор Е450, регуляторы кислотности Е451, Е262, Е331, агент влагоудерживающий Е325, перец черный молотый, чеснок, декстроза, усилитель вкуса и аромата Е621, антиокислитель Е301), майонез (масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель Е1422, консервант Е200, стабилизаторы: Е415, Е412, ароматизатор, краситель каротины), белок яичный, капуста китайская, бекон жареный (свинина, вода, регулятор кислотности Е326, нитритно-посолочная смесь (соль, фиксатор окраски Е250), комплексная пищевая добавка (ароматизатор, водный раствор натурального жидкого дыма, эмульгатор Е433), комплексная пищевая добавка (ароматизаторы, регулятор кислотности Е340ii), комплексная пищевая добавка (антиокислитель Е301, натуральный ароматизатор), сухой глюкозный сироп, регулятор кислотности Е451i, ароматизатор натуральный), соус на основе растительных масел (вода, масло подсолнечное, сахар, томатная паста, уксус, загустители: Е1442, Е451, Е1450, соль, яичный желток, чеснок сушеный, лук сушеный, паприка, кориандр, перец кайенский, черный перец, ароматизаторы (содержат коптильный ароматизатор), консерванты: Е200, Е385, регулятор кислотности Е262), загустители: Е415, Е412.

На предприятии изготавливаются продукты, содержащие аллергены: рыбу, сельдерей, горчицу, орехи, арахис, кунжут, ракообразные, моллюски, сульфиты.",3
4316740,Салат Оливье Пятерочка Кафе 200г,шт,1.0,"{'rating_average': 4.84, 'rates_count': 6260}","[{'value': '139.99', 'placement_type': 'regular_primary'}]",200 г,"[{'value': '5.4', 'text': 'белки'}, {'value': '10.9', 'text': 'жиры'}, {'value': '6.5', 'text': 'углеводы'}, {'value': '146.0', 'text': 'ккал'}]","картофель отварной, колбаса вареная [свинина, говядина, вода, соль, молоко сухое цельное, сухой яичный меланж, регуляторы кислотности: Е450iii, Е451i, сахар, антиокислитель аскорбиновая кислота, мускатный орех, усилитель вкуса и аромата Е621, фиксатор окраски нитрит натрия], яйцо куриное маринованное [яйцо куриное отварное, маринад: регулятор кислотности уксусная кислота, соль], горошек консервированный [горошек зеленый, маринад: сахар, соль], майонез [масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель Е1422, консервант сорбиновая кислота, стабилизаторы: ксантановая камедь, гуаровая камедь, ароматизатор, краситель каротины], морковь отварная, огурцы маринованные [огурцы, маринад: сахар, соль, регулятор кислотности уксусная кислота, пряности], огурцы свежие, соль, консерванты: Е211, Е202. 
Продукция производится на предприятии, где используются аллергены: соя, рыба, сельдерей, глютен, горчица, орехи, арахис, кунжут, ракообразные, моллюски, сульфиты",3
78031990,Улитка с корицей 80г,шт,1.0,"{'rating_average': 4.89, 'rates_count': 42726}","[{'value': '39.99', 'placement_type': 'regular_primary'}]",80 г,"[{'value': '5.6', 'text': 'белки'}, {'value': '26.8', 'text': 'жиры'}, {'value': '45.4', 'text': 'углеводы'}, {'value': '445.0', 'text': 'ккал'}]","мука пшеничная хлебопекарная высшего сорта, вода питьевая, маргарин (рафинированные дезодорированные растительные масла, вода, эмульгаторы (Е472c, Е475), соль, консервант Е200, регулятор кислотности лимонная кислота), маргарин (рафинированные дезодорированные растительные масла, вода, эмульгаторы (Е471, Е433, соевый лецитин), соль, консерванты (Е200, Е211), ароматизатор, краситель Е160а, регулятор кислотности Е330), сахар, сахар гранулированный, дрожжи хлебопекарные, концентрат пищевой (сахар, загуститель Е1414, сыворотка молочная сухая, молоко сухое обезжиренное, жировой порошок (кокосовый), соль, эмульгатор Е481, краситель Е160а, стабилизатор Е401, ароматизатор), комплексная пищевая добавка (пшеничная клейковина, эмульгатор Е472е, антиокислитель Е300, ферментный препарат микробного происхождения), меланж яичный жидкий, корица, соль (соль, агент антислеживающий Е536). 
Продукт может содержать следы кунжута, арахиса.",2
78034286,Кофе с молоком 260мл,шт,1.0,"{'rating_average': 4.73, 'rates_count': 102}","[{'value': '99.99', 'placement_type': 'regular_primary'}]",260 мл,"[{'value': '5.32', 'text': 'белки'}, {'value': '5.33', 'text': 'жиры'}, {'value': '7.38', 'text': 'углеводы'}, {'value': '98.77', 'text': 'ккал'}]","молоко с м.д.ж. 3,2%, вода питьевая, кофе натуральный жареный в зернах",1
2157514,Паста Nutella с добавлением какао ореховая 350г,шт,1.0,"{'rating_average': 4.94, 'rates_count': 4309}","[{'value': '543.99', 'placement_type': 'regular_primary'}]",350 г,"[{'value': '6.3', 'text': 'белки'}, {'value': '30.9', 'text': 'жиры'}, {'value': '57.5', 'text': 'углеводы'}, {'value': '539.0', 'text': 'ккал'}]","сахар, растительный жир, лесной орех, обезжиренный какао-порошок, сухое обезжиренное молоко, сухая молочная сыворотка, эмульгатор: лецитины, ароматизатор. Содержит молоко, продукты их переработки",2
4353020,Онигири Филадельфия с семгой и творожным сыром Пятерочка Кафе 110г,шт,1.0,"{'rating_average': 4.73, 'rates_count': 5186}","[{'value': '139.99', 'placement_type': 'regular_primary'}]",110 г,"[{'value': '3.6', 'text': 'белки'}, {'value': '6.4', 'text': 'жиры'}, {'value': '30.2', 'text': 'углеводы'}, {'value': '192.8', 'text': 'ккал'}]","рис отварной заправленный [вода, рис, соус для риса (уксус рисовый (уксус рисовый, уксус спиртовой, вода, сахар, соль), сахар, соль), масло рисовое], сёмга с/с [сёмга, соль, сахар], майонез [масло подсолнечное, вода, сахар, соль, яичный желток, регуляторы кислотности: кислота уксусная, молочная кислота, загуститель Е1422, консервант сорбиновая кислота, стабилизаторы: ксантановая камедь, гуаровая камедь, ароматизатор, краситель каротины)], сыр творожный [творог (нормализованное пастеризованное молоко, бактериальная закваска, молокосвертывающий фермент микробного происхождения), загуститель Е1422, соль, стабилизаторы: камедь рожкового дерева, гуаровая камедь, регулятор кислотности лимонная кислота, вода], огурцы свежие, соль, водоросли морские сушёные.

 На предприятии изготавливаются продукты, содержащие аллергены: молоко, сельдерей, глютен, горчица, орехи, соя, арахис, кунжут, ракообразные, моллюски, сульфиты",3
78034281,Кофе Латте 330мл,шт,1.0,"{'rating_average': 4.73, 'rates_count': 2248}","[{'value': '99.99', 'placement_type': 'regular_primary'}]",330 мл,"[{'value': '6.84', 'text': 'белки'}, {'value': '6.85', 'text': 'жиры'}, {'value': '9.65', 'text': 'углеводы'}, {'value': '127.61', 'text': 'ккал'}]","молоко с м.д.ж. 3,2%, вода питьевая, кофе натуральный жареный в зернах",1
4117904,Багет Ржаной чесночный замороженный п/ф 200г,шт,1.0,"{'rating_average': 4.68, 'rates_count': 140}","[{'value': '64.99', 'placement_type': 'regular_primary'}]",200 г,"[{'value': '6.5', 'text': 'белки'}, {'value': '14.0', 'text': 'жиры'}, {'value': '45.1', 'text': 'углеводы'}, {'value': '332.0', 'text': 'ккал'}]","Мука пшеничная хлебопекарная высшего сорта, вода питьевая, мука ржаная обдирная, масло сливочное, соль пищевая молотая, дрожжи прессованные хлебопекарные, чеснок сушеный, экстракт солодовый, петрушка сушеная. 

Содержит злаковые компоненты содержащие клейковину (глютен), продукты переработки молока. Может содержать следы кунжута, семян тыквы, семян подсолнечника, семян льна.",2
