Product Name,PLU,UOM,Step,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Score
Кофе Латте 330мл,78034281,шт,1.0,330 мл,330.0,6.84,6.85,9.65,127.61,46.5
Кофе Большой Капучино 270мл,78034282,шт,1.0,270 мл,270.0,5.25,5.26,7.17,97.02,5.0
Кофе Американо Гранде 320мл,78034285,шт,1.0,320 мл,320.0,0.47,0.48,0.11,6.64,5.0
Кофе Флэт Уайт 200мл,78034280,шт,1.0,200 мл,200.0,4.81,4.83,6.49,88.67,5.33
Кофе Большой Американо 230мл,78034284,шт,1.0,230 мл,230.0,0.41,0.42,0.09,5.78,6.0
Кофе Двойной Эспрессо 100мл,78034283,шт,1.0,100 мл,100.0,0.5,0.51,0.12,7.07,5.67
Кофе с молоком 260мл,78034286,шт,1.0,260 мл,260.0,5.32,5.33,7.38,98.77,6.33
Каша Рисовая на молоке Пятерочка Кафе 200г,4216695,шт,1.0,200 г,200.0,2.5,3.0,15.0,95.0,6.33
Каша пшенная на молоке Пятерочка Кафе 200г,4260436,шт,1.0,200 г,200.0,3.0,3.0,13.0,95.0,6.33
Сырники с малиновой начинкой Рестория Шеф 140г,4235408,шт,1.0,140 г,140.0,9.7,15.5,25.6,280.7,6.0
Запеканка Вкус & Польза творожная с черной смородиной 200г,4362366,шт,1.0,200 г,200.0,11.4,5.0,21.6,177.0,6.67
Блинчики без начинки Пятерочка Кафе 200г,4355855,шт,1.0,200 г,200.0,5.8,8.8,22.0,190.0,5.67
Сырники Вкус & Польза творожные 340г,4362582,шт,1.0,340 г,340.0,10.0,6.0,21.0,180.0,6.67
Каша Гурьевская на топленом молоке с изюмом Пятерочка Кафе 200г,4260437,шт,1.0,200 г,200.0,2.5,4.0,13.0,100.0,7.0
Блинчики с ветчиной и сыром Пятерочка Кафе 160г,4365538,шт,1.0,160 г,160.0,11.0,8.0,26.0,220.0,5.33
Сэндвич куриный с беконом Пятерочка Кафе 185г,4344431,шт,1.0,185 г,185.0,8.1,16.2,21.6,264.0,4.67
Онигири с крабовыми палочками и соусом Спайси Пятерочка Кафе 110г,4342266,шт,1.0,110 г,110.0,2.7,6.8,32.0,200.0,4.0
Онигири с кальмаром и соусом Том Ям Пятерочка Кафе 110г,4342268,шт,1.0,110 г,110.0,5.0,6.0,27.6,184.4,6.67
Шаурма с курицей Пятерочка Кафе 200г,4279168,шт,1.0,200 г,200.0,10.6,10.3,30.9,259.0,6.33
Чизбургер Пятерочка Кафе 130г,4355138,шт,1.0,130 г,130.0,8.1,11.8,20.3,220.0,3.67
Сэндвич-ролл с горбушей Пятерочка Кафе 200г,4364577,шт,1.0,200 г,200.0,9.8,13.0,22.9,248.0,6.0
Сэндвич с кетой Пятерочка Кафе 170г,4299789,шт,1.0,170 г,170.0,9.4,9.5,19.9,203.0,6.33
Сэндвич-ролл с курицей том ям Пятерочка Кафе 195г,4376856,шт,1.0,195 г,195.0,9.3,14.8,25.8,273.6,5.67
Гамбургер Пятерочка Кафе 120г,4355139,шт,1.0,120 г,120.0,7.2,10.1,21.8,207.4,3.33
Сэндвич-ролл с креветкой Пятерочка Кафе 165г,4376857,шт,1.0,165 г,165.0,9.4,14.2,27.3,274.6,6.67
Сэндвич-ролл с индейкой Пятерочка Кафе 230г,4376855,шт,1.0,230 г,230.0,11.9,10.4,25.9,244.8,6.0
Онигири Филадельфия с семгой и творожным сыром Пятерочка Кафе 110г,4353020,шт,1.0,110 г,110.0,3.6,6.4,30.2,192.8,5.33
"Онигири с угрем, курицей и шампиньонами Пятерочка Кафе 110г",4369260,шт,1.0,110 г,110.0,4.1,5.1,28.6,176.7,5.0
Ролл Симфония с креветкой темпура Пятерочка Кафе 180г,4370998,шт,1.0,180 г,180.0,5.5,10.5,23.7,211.3,6.0
Ролл Симфония с крабовыми палочками и соусом васаби Пятерочка Кафе 180г,4370999,шт,1.0,180 г,180.0,3.5,6.3,29.4,188.3,7.0
Ролл Симфония с курицей и соусом цезарь Пятерочка Кафе 180г,4371000,шт,1.0,180 г,180.0,6.8,5.8,30.1,199.8,6.33
Мясо по-французски с запеченным картофелем Пятерочка Кафе 250г,4377609,шт,1.0,250 г,250.0,9.0,13.0,16.0,214.4,6.67
Лазанья Болоньезе с сыром в соусе Бешамель Мираторг 350г,4261976,шт,1.0,350 г,350.0,7.5,6.4,17.1,156.5,8.0
Плов с курицей Пятерочка Кафе 250г,4191429,шт,1.0,250 г,250.0,7.1,13.5,17.9,200.0,6.0
Паста с ветчиной и грибами Пятерочка Кафе 250г,4315309,шт,1.0,250 г,250.0,5.6,8.1,14.9,155.0,5.5
Шницель куриный с картофельным пюре Пятерочка Кафе 250г,4287273,шт,1.0,250 г,250.0,8.7,8.0,15.7,170.0,5.67
Котлета По-Киевски с картофельным пюре Пятерочка Кафе 260г,4273609,шт,1.0,260 г,260.0,9.3,10.7,14.9,193.0,6.67
Котлета из трески с рисом и овощами Рестория Шеф 250г,4263421,шт,1.0,250 г,250.0,5.5,5.0,18.0,140.0,7.0
Голень куриная гриль Пятерочка Кафе,4295038,кг,0.4,Цена за 100 г,400.0,15.0,34.0,2.5,370.0,7.0
Крылышки куриные гриль Пятерочка Кафе,4295037,кг,0.4,Цена за 100 г,400.0,13.0,34.0,2.5,370.0,7.0
Манты с мясом Пятерочка Кафе 240г,4362983,шт,1.0,240 г,240.0,6.2,18.1,26.2,292.5,5.0
Паста Карбонара Пятерочка Кафе 250г,4364665,шт,1.0,250 г,250.0,7.0,10.3,18.3,194.0,5.67
Капуста тушеная с сосисками Пятерочка Кафе 250г,4372194,шт,1.0,250 г,250.0,2.9,5.9,8.8,99.9,4.67
Лапша Удон с кальмарами и креветками Пятерочка Кафе 250г,4335075,шт,1.0,250 г,250.0,6.5,4.9,22.6,160.0,7.0
Паста Болоньезе Пятерочка Кафе 250г,4364664,шт,1.0,250 г,250.0,4.7,5.0,20.5,146.0,3.0
Биточек куриный со спагетти в томатном соусе Пятерочка Кафе 250г,4376969,шт,1.0,250 г,250.0,9.1,11.2,25.5,240.0,7.0
Лапша Вок с курицей Пятерочка Кафе 250г,4364662,шт,1.0,250 г,250.0,6.9,8.1,14.0,157.0,5.33
Суп куриный с домашней лапшой Пятерочка Кафе 250г,4292794,шт,1.0,250 г,250.0,4.0,5.5,6.5,90.0,6.0
Суп Солянка сборная мясная по-домашнему Пятерочка Кафе 250г,4292792,шт,1.0,250 г,250.0,4.0,3.9,4.6,70.0,6.33
Суп-пюре грибной Пятерочка Кафе 250г,4292789,шт,1.0,250 г,250.0,2.7,5.7,10.0,100.0,7.0
Суп гороховый с копченостями Пятерочка Кафе 250г,4292795,шт,1.0,250 г,250.0,3.5,5.0,8.0,90.0,5.67
Суп Харчо Пятерочка Кафе 250г,4292791,шт,1.0,250 г,250.0,3.2,1.1,9.9,60.0,6.33
Салат Оливье Пятерочка Кафе 200г,4316740,шт,1.0,200 г,200.0,5.4,10.9,6.5,146.0,6.0
Салат сельдь под шубой Пятерочка Кафе 250г,4322017,шт,1.0,250 г,250.0,6.2,14.5,8.0,188.0,6.0
Салат с кальмаром Пятерочка Кафе 200г,4287278,шт,1.0,200 г,200.0,4.8,16.6,9.3,206.0,6.67
Салат Фаворит с бужениной и шампиньонами Пятерочка Кафе 200г,4345530,шт,1.0,200 г,200.0,7.7,18.6,3.9,210.0,5.33
Салат Гнездо глухаря Пятерочка Кафе 200г,4299031,шт,1.0,200 г,200.0,14.7,17.6,6.9,230.0,6.33
Салат Крабовый Пятерочка Кафе 200г,4322016,шт,1.0,200 г,200.0,4.3,19.3,14.2,245.0,7.0
Салат оливье Пятерочка Кафе 500г,4316741,шт,1.0,500 г,500.0,5.4,10.9,6.5,146.0,6.67
Салат Винегрет Пятерочка Кафе 180г,4343382,шт,1.0,180 г,180.0,2.1,4.5,9.6,87.2,6.33
Салат столичный Рестория Шеф 200г,4191361,шт,1.0,200 г,200.0,9.2,21.8,6.1,260.0,6.33
Салат Коул Слоу капустный с апельсиновым соком Пятерочка Кафе 200г,4211040,шт,1.0,200 г,200.0,1.5,17.8,10.1,207.0,5.67
Салат печеночный с картофелем и грибами Пятерочка Кафе 200г,4299028,шт,1.0,200 г,200.0,5.3,20.2,19.0,279.0,6.0
Салат Весенний Пятерочка Кафе 160г,4349646,шт,1.0,160 г,160.0,1.2,5.4,6.1,77.8,4.0
Салат Мимоза Пятерочка Кафе 200г,4335076,шт,1.0,200 г,200.0,7.3,16.0,6.2,198.0,4.0
Салат Кобб Пятерочка Кафе 170г,4357183,шт,1.0,170 г,170.0,4.3,15.7,9.2,195.0,6.0
Салат морская капуста с крабовым мясом Fish House 400г,3950270,шт,1.0,400 г,400.0,2.0,26.0,3.0,254.0,7.25
Салат из морской капусты с кальмаром в майонезе Fish House 250г,4108226,шт,1.0,250 г,250.0,3.5,18.0,2.5,190.0,3.0
Салат дальневосточный из морской капусты Fish House 250г,3398711,шт,1.0,250 г,250.0,0.5,5.0,1.5,55.0,8.0
Салат Витаминный из морской капусты Fish House 430г,3950268,шт,1.0,430 г,430.0,0.5,4.5,4.0,52.0,8.0
Салат Чука Fish House 180г,4104710,шт,1.0,180 г,180.0,1.1,10.0,7.1,120.0,4.0
Салат морковь со спаржей по-корейски Рестория Шеф 400г,4147973,шт,1.0,400 г,400.0,5.0,6.5,7.5,110.0,6.67
Салат Чука в ореховом соусе Fish House 200г,4104709,шт,1.0,200 г,200.0,1.8,9.5,8.5,130.0,6.33
Салат Фунчоза По-Корейски Пятерочка Кафе 200г,4343383,шт,1.0,200 г,200.0,0.5,3.2,25.4,132.0,7.0
Салат Капуста по-корейски Рестория Шеф 200г,4261467,шт,1.0,200 г,200.0,1.6,6.0,4.4,77.0,7.33
Салат Баклажаны по-корейски Рестория Шеф 200г,4261466,шт,1.0,200 г,200.0,0.7,6.0,3.2,69.6,6.67
Рулетики из ветчины с сыром Пятерочка Кафе 150г,4308912,шт,1.0,150 г,150.0,13.1,27.8,3.2,315.0,5.0
Хумус Классический Рестория Шеф 200г,4116551,шт,1.0,200 г,200.0,6.0,19.0,11.0,236.0,6.67
Хумус с кедровыми орешками Рестория Шеф 200г,4116552,шт,1.0,200 г,200.0,6.0,19.0,11.0,236.0,8.0
Сэндвич-ролл Цезарь Пятерочка Кафе 200г,4364574,шт,1.0,200 г,200.0,7.8,16.4,23.9,274.0,3.33
Паштет из шампиньонов Грибная Кухня 230г,3648674,шт,1.0,230 г,230.0,7.0,19.0,0.8,200.0,6.33
Хумус с острым соусом Рестория Шеф 200г,4116553,шт,1.0,200 г,200.0,6.0,18.0,11.0,225.0,6.33
Морс клюквенный Пятерочка Кафе 0.5л,4168788,шт,1.0,500 мл,500.0,0.0,0.0,12.0,48.0,6.33
Лимонад Лимон-имбирь Пятерочка Кафе 500мл,4250372,шт,1.0,500 мл,500.0,0.0,0.0,11.0,45.0,5.33
Смузи банан-манго Пятерочка Кафе 0.3л,4326274,шт,1.0,300 мл,300.0,0.0,0.0,10.0,40.0,6.67
Чебупицца Пепперони Горячая Штучка 250г,3416332,шт,1.0,250 г,250.0,9.0,12.0,32.0,270.0,4.33
Чебупицца Курочка по-итальянски Горячая Штучка 250г,3421780,шт,1.0,250 г,250.0,8.0,13.0,29.0,270.0,5.67
Блины с творогом С Пылу с Жару 360г,3273892,шт,1.0,360 г,360.0,5.0,3.0,22.0,140.0,7.0
Блины с мясом С Пылу с Жару 360г,3273891,шт,1.0,360 г,360.0,6.5,3.5,19.0,130.0,6.33
Хотстеры Горячая Штучка 250г,3435321,шт,1.0,250 г,250.0,8.0,12.0,17.0,210.0,4.33
Чебупели Сочные с мясом Горячая Штучка 250г,3373886,шт,1.0,250 г,250.0,7.0,11.0,28.0,240.0,5.33
Чебупели с ветчиной и сыром Горячая штучка 250г,3395673,шт,1.0,250 г,250.0,7.0,15.0,40.0,320.0,5.67
Блины с мясом Останкино 420г,2141551,шт,1.0,420 г,420.0,8.0,11.0,33.0,270.0,5.0
Блины с вишней С Пылу с Жару 360г,3269961,шт,1.0,360 г,360.0,3.0,3.0,25.0,140.0,6.67
Блины с ветчиной и сыром С Пылу с Жару 360г,3426375,шт,1.0,360 г,360.0,5.0,7.0,17.0,150.0,5.67
Блины с куриным мясом Останкино 420г,2170437,шт,1.0,420 г,420.0,8.0,11.0,33.0,270.0,6.0
Чебурек Твистер's band Чебурито с мясом замороженный 85г,4009387,шт,1.0,85 г,85.0,9.0,14.0,31.5,288.0,5.0
Блинчики для фаршировки С пылу с жару 310г,3604375,шт,1.0,310 г,310.0,4.0,4.0,22.0,140.0,7.0
Круггетсы с сырным соусом Горячая Штучка 250г,3477910,шт,1.0,250 г,250.0,8.5,16.0,20.0,260.0,3.0
Лазанья мясная замороженная Золотой Петушок 370г,2157530,шт,1.0,370 г,370.0,7.6,4.1,18.7,142.1,5.0
Чебурек Богатырь с мясом Жаренки 180г,3680892,шт,1.0,180 г,180.0,9.3,14.5,31.7,294.0,4.0
Оладьи оладушки С Пылу С Жару 280г,3371860,шт,1.0,280 г,280.0,6.0,4.0,40.0,200.0,5.0
Пончик с начинкой со вкусом клубники глазированный Don Donut 65г,4336618,шт,1.0,65 г,65.0,5.9,18.7,39.0,329.0,3.0
Блинчики шоколадные с белым шоколадом замороженные С пылу с жару 220г,4278081,шт,1.0,220 г,220.0,8.0,15.0,33.0,300.0,5.67
Солянка По-домашнему замороженая Главсуп 250г,3236284,шт,1.0,250 г,250.0,1.3,2.5,4.0,44.0,8.0
Блины с печенью замороженные Останкино 420г,2141553,шт,1.0,420 г,420.0,8.0,10.0,33.0,260.0,6.0
Пельмени Супермени со сливочным маслом Горячая Штучка 200г,4042247,шт,1.0,200 г,200.0,11.0,6.0,20.0,180.0,4.0
Крылышки Хрустящие острые к пиву Горячая Штучка 300г,3446271,шт,1.0,300 г,300.0,12.0,13.0,27.0,270.0,4.0
Сырники Элика По-Домашнему замороженные 320г,4310367,шт,1.0,320 г,320.0,15.5,7.0,19.5,230.0,7.0
Оладьи-сэндвичи с ореховой пастой замороженные С пылу с жару 60г,4351078,шт,1.0,60 г,60.0,5.5,10.5,52.0,320.0,5.33
Запеканка картофельная замороженная Разогрей-Ка 250г,4339081,шт,1.0,250 г,250.0,8.0,9.0,15.0,146.0,7.0
Плов с мясом цыпленка Российская корона 300г,3404868,шт,1.0,300 г,300.0,7.8,4.6,19.0,148.6,6.67
Азу из курицы с картофельным пюре замороженное СытоЕдов 300г,4306830,шт,1.0,300 г,300.0,5.0,5.0,8.5,100.0,7.33
Лепешка замороженная ROTI 450г,4147575,шт,1.0,450 г,450.0,6.1,15.0,37.8,311.0,4.0
Паэлья Испанское блюдо 4 Сезона 600г,728,шт,1.0,600 мл,600.0,8.0,3.0,17.0,130.0,5.0
