Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Desirability,Score
Кофе Латте 330мл,78034281,шт,1.0,4.73,2248,99.99,330 мл,330.0,6.84,6.85,9.65,127.61,1,7.67
Каша Рисовая на молоке Пятерочка Кафе 200г,4216695,шт,1.0,4.92,9545,94.99,200 г,200.0,2.5,3.0,15.0,95.0,4,7.0
Сэндвич куриный с беконом Пятерочка Кафе 185г,4344431,шт,1.0,4.84,5505,179.99,185 г,185.0,8.1,16.2,21.6,264.0,3,6.0
Кофе Большой Капучино 270мл,78034282,шт,1.0,4.68,1261,99.99,270 мл,270.0,5.25,5.26,7.17,97.02,1,6.33
Каша пшенная на молоке Пятерочка Кафе 200г,4260436,шт,1.0,4.89,4923,89.99,200 г,200.0,3.0,3.0,13.0,95.0,4,7.0
Онигири с тунцом и соусом Спайси Пятерочка Кафе 110г,4342264,шт,1.0,4.76,4799,129.99,110 г,110.0,3.9,6.2,30.9,195.0,3,7.33
Сырники жареные Пятерочка Кафе 220г,4213985,шт,1.0,4.8,4184,179.99,220 г,220.0,11.6,11.1,24.1,207.0,4,5.0
Морс облепиховый Пятерочка Кафе 0.5л,4168789,шт,1.0,4.9,2902,99.99,500 мл,500.0,0.0,0.0,13.0,52.0,2,6.33
Хлеб сандвичный Harry's American Sandwich пшеничный нарезка 470г,2061861,шт,1.0,4.93,16015,119.99,470 г,470.0,8.0,6.0,48.0,278.0,5,5.0
Онигири с крабовыми палочками и соусом Спайси Пятерочка Кафе 110г,4342266,шт,1.0,4.81,5202,119.99,110 г,110.0,2.7,6.8,32.0,200.0,3,5.33
Онигири Филадельфия с семгой и творожным сыром Пятерочка Кафе 110г,4353020,шт,1.0,4.73,5186,139.99,110 г,110.0,3.6,6.4,30.2,192.8,3,6.67
Хлеб Коломенский Даниловский ржано-пшеничный нарезка 350г,4276930,шт,1.0,4.93,18386,75.99,350 г,350.0,7.0,1.0,49.0,230.0,5,7.33
Сырники с малиновой начинкой Рестория Шеф 140г,4235408,шт,1.0,4.86,2771,139.99,140 г,140.0,9.7,15.5,25.6,280.7,4,7.33
Кофе Американо Гранде 320мл,78034285,шт,1.0,4.71,540,79.99,320 мл,320.0,0.47,0.48,0.11,6.64,1,7.33
Чебупицца Пепперони Горячая Штучка 250г,3416332,шт,1.0,4.91,22522,215.99,250 г,250.0,9.0,12.0,32.0,270.0,3,5.0
Морс клюквенный Пятерочка Кафе 0.5л,4168788,шт,1.0,4.88,3762,99.99,500 мл,500.0,0.0,0.0,12.0,48.0,2,6.67
Хлеб Черемушки Столичный нарезка 330г,4049144,шт,1.0,4.93,23031,54.99,330 г,330.0,7.0,1.2,45.8,222.0,5,7.0
Багет ржаной чесночный 180г,78030125,шт,1.0,4.93,58019,69.99,180 г,180.0,6.5,14.0,45.1,332.0,4,8.0
Ролл Симфония с креветкой темпура Пятерочка Кафе 180г,4370998,шт,1.0,4.78,1305,249.99,180 г,180.0,5.5,10.5,23.7,211.3,3,5.67
Хлеб сандвичный Harry's American Sandwich пшеничный с отрубями нарезка 515 г,2061863,шт,1.0,4.88,4117,134.99,515 г,515.0,9.5,7.0,42.0,270.0,5,7.0
Хлеб Сибирский пекарь зерновой мультизлаковый со льном нарезка 280г,4103219,шт,1.0,4.9,5389,65.99,280 г,280.0,6.2,2.3,48.9,228.0,5,6.67
Бананы Global Village,809,кг,0.5,4.91,404532,179.99,Цена за 1 кг,500.0,1.1,0.3,23.0,89.0,8,7.33
Улитка Греческая с курицей и картофелем 160г,3368421,шт,1.0,4.91,98129,59.99,160 г,160.0,8.7,6.7,32.6,226.0,2,6.33
Хлеб Черемушки Бездрожжевой нарезка 320г,4059494,шт,1.0,4.9,3383,84.99,320 г,320.0,6.5,2.5,49.0,290.0,5,4.0
Морковь,2138999,кг,0.5,4.9,299017,25.99,Цена за 1 кг,500.0,0.9,0.2,10.0,41.0,8,9.0
Булочка с корицей замороженная п/ф 90г,4200588,шт,1.0,4.81,352,39.99,90 г,90.0,5.5,27.0,45.0,450.0,2,7.0
