Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Score
Кофе Латте 330мл,78034281,шт,1.0,4.73,2087,99.99,330 мл,330.0,6.84,6.85,9.65,127.61,7.0
Кофе Большой Капучино 270мл,78034282,шт,1.0,4.69,1191,99.99,270 мл,270.0,5.25,5.26,7.17,97.02,6.33
Кофе Американо Гранде 320мл,78034285,шт,1.0,4.69,518,79.99,320 мл,320.0,0.47,0.48,0.11,6.64,5.0
Кофе Флэт Уайт 200мл,78034280,шт,1.0,4.56,339,99.99,200 мл,200.0,4.81,4.83,6.49,88.67,8.0
Кофе Большой Американо 230мл,78034284,шт,1.0,4.8,198,49.99,230 мл,230.0,0.41,0.42,0.09,5.78,5.67
Кофе Двойной Эспрессо 100мл,78034283,шт,1.0,4.64,131,79.99,100 мл,100.0,0.5,0.51,0.12,7.07,7.0
Кофе с молоком 260мл,78034286,шт,1.0,4.73,100,99.99,260 мл,260.0,5.32,5.33,7.38,98.77,6.33
Каша Рисовая на молоке Пятерочка Кафе 200г,4216695,шт,1.0,4.92,9561,94.99,200 г,200.0,2.5,3.0,15.0,95.0,7.0
Каша пшенная на молоке Пятерочка Кафе 200г,4260436,шт,1.0,4.89,4870,89.99,200 г,200.0,3.0,3.0,13.0,95.0,7.0
Сырники жареные Пятерочка Кафе 220г,4213985,шт,1.0,4.79,4173,159.99,220 г,220.0,11.6,11.1,24.1,207.0,5.33
Сырники с малиновой начинкой Рестория Шеф 140г,4235408,шт,1.0,4.86,2685,149.99,140 г,140.0,9.7,15.5,25.6,280.7,7.33
Оладьи По-домашнему Пятерочка Кафе 160г,4191428,шт,1.0,4.78,3938,99.99,160 г,160.0,9.0,11.5,46.6,300.0,7.33
Запеканка Вкус & Польза творожная с черной смородиной 200г,4362366,шт,1.0,4.73,1531,169.99,200 г,200.0,11.4,5.0,21.6,177.0,8.0
Запеканка Вкус & Польза творожная с яблоком и корицей 200г,4362369,шт,1.0,4.83,1276,169.99,200 г,200.0,12.0,5.0,23.5,187.0,8.0
Сырники Вкус & Польза творожные 340г,4362582,шт,1.0,4.76,1045,,340 г,340.0,10.0,6.0,21.0,180.0,7.33
Блинчики без начинки Пятерочка Кафе 200г,4355855,шт,1.0,4.8,2851,99.99,200 г,200.0,5.8,8.8,22.0,190.0,7.0
Каша Гурьевская на топленом молоке с изюмом Пятерочка Кафе 200г,4260437,шт,1.0,4.84,2136,99.99,200 г,200.0,2.5,4.0,13.0,100.0,7.0
Блинчики с ветчиной и сыром Пятерочка Кафе 160г,4365538,шт,1.0,4.79,682,109.99,160 г,160.0,11.0,8.0,26.0,220.0,6.33
Блинчики с мясом Пятерочка Кафе 160г,4365536,шт,1.0,4.82,381,139.99,160 г,160.0,14.0,8.0,26.0,230.0,6.67
