Product Name,Score
Напиток Черноголовка Кола без сахара газированный 1.5л,2
Биотворог Верховье Персик 4.2% 120г,6
Лимоны,9
Кефир ЭкоНива 3.2% БЗМЖ 1кг,9
Фасоль Bonduelle печеная со сладким перцем 360г,7
Суп гороховый с копченостями Пятерочка Кафе 250г,4
Пломбир Коровка из Кореновки ванильный 15% БЗМЖ 80г,2
Колбаса Клинский Испанская сырокопченая полусухая 85г,6
Икра мойвы Санта Бремор с копченым лососем 180г,6
Пирожное Kinder Maxi King орехи и Карамель 35г,2
Макароны Pasteroni Грандине Птитим №122 400г,7
Чиабатта Рустик 290г,5
Жевательная резинка Mentos Pure Fresh виноград 15.5г,2
Хлеб Коломенское Даниловский зерновой 300г,6
Перец Kotanyi черный молотый 20г,9
Корица Dr. Bakers молотая 8г,8
Десерт творожный Ростагрокомплекс Чизкейк клубничный 15% 40г,4
Гранат,8
Набор кондитерских изделий Рот Фронт Фонарик новогодний 250г,2
Багет Традиционный замороженный п/ф 260г,3
Сыр Violette Сливочный творожный 70% БЗМЖ 140г,4
Биойогурт Сарафаново Клубника 3.1% 125г,7
Сметана Ростагроэкспорт 15% БЗМЖ 320г,8
Десерт Чудо творожный вкус пломбир с соусом соленая карамель 4.2% БЗМЖ 100г,2
Молоко Лебедяньмолоко 3.2% БЗМЖ 900г,7
Сыр твёрдый LiebenDorf Голландский тертый 45% БЗМЖ 200г,7
Колбаса Рублевский Брауншвейгская сырокопченая,4
Салями Мясная Ферма сырокопченая полусухая 150г,4
Мясные консервы Снов свинина тушеная 338г,6
Рулет Шарлиз бисквитный с кремом вареная сгущенка 200г,1
Соус Astoria Тартар 30% 200г,2
Баранки Зерница Сахарные с маком 350г,3
Чипсы Яблоков яблочные 25г,7
Лапша Домшим со вкусом Говядины быстрого приготовления 90г,1
Фарш Мираторг говяжий охлажденный 400г,7
Сэндвич-ролл с курицей том ям Пятерочка Кафе 195г,6
"Плитки шоколада Коркунов молочный, темный, молочный с дробленым фундуком 87г",2
Крупа Увелка гречневая ядрица 450г,8
Карамель Lenco Монстрики Ассорти леденцовая 11г,2
"Онигири с угрем, курицей и шампиньонами Пятерочка Кафе 110г",7
Батончик Gerber Банан и яблоко фруктово-злаковый с 12 мес. 25г,7
Пицца Красная Цена Колбаса 300г,3
Салат Грин Микс с курицей и шампиньонами Пятерочка Кафе 150г,5
Тоник Rich Mандарин газированный 1л,2
Шампиньоны Global Village 250г,7
Шоколад Milka с цельным миндалем молочный 80г,2
Сыр полутвердый ЭкоНива Щучанский 50% БЗМЖ 200г,6
Горбуша Вкусное море Походная слабосоленая ломтики в масле 120г,7
Кофе растворимый Monarch Miligrano натуральный сублимированный c добавлением натурального жареного молотого 90г,8
Сгущенное молоко Станция Молочная цельное с сахаром 8.5% БЗМЖ 360г,2
Хлебушек заварной бездрожжевой замороженный п/ф 350г,4
Сок J7 Апельсиновый с мякотью 0.3л,5
Вафли Cuisine royale сливочные рифленые 120г,2
Крабовое мясо Русское море имитация охлажденное 200г,6
Драже Skittles кисломикс 38г,1
Салат Трио латук в горшочке 260г,8
Нектар Global Village вишня 200мл,4
Макароны Makfa ракушки 450г,8
Набор молочного шоколада Milka Открытка с новым годом 170г,1
Форель Балтийский берег филе-кусок слабосоленая 200г,6
Драже M&M's с арахисом и молочным шоколадом 80г,1
Колбаса Папа может Охотничья сырокопченая полусухая 220г,3
Спагетти Federici №3 без глютена из красной чечевицы 250г,8
Огурцы Люкс Луховицкие короткоплодные 450г,9
Улитка с ванильной начинкой и изюмом п/ф 100г,3
Отруби Вкус & Польза хрустящие ржаные 230г,7
Отруби На Здоровье овсяные 175г,7
Лапша Ameria №120 Яичная 400г,7
Вода Черноголовка артезианская негазированная 2.5л,9
Масло Mr. Ricco подсолнечное рафинированное дезодорированное 1л,7
Масло Altero подсолнечное с добавлением оливкового 810мл,7
Напиток энергетический Pulseup Berry Energy газированный 0.45л,1
Консервы Красная цена томаты неочищенные в томатном соке 680г,5
Сыр творожный Almette сливочный 60% БЗМЖ 150г,4
Вода Святой источник Спорт негазированная 750мл,9
Мармелад Бон Пари Кислые змейки жевательный фигурный фрукты 120г,2
Соус Heinz Брусничный для мяса 200г,2
Сырок творожный Ростагроэкспорт с вареной сгущенкой глазированный 15% 45г,3
Хлеб Маг с семечками 390г,4
Соус Astoria с пряностями и чесноком 200г,3
Мука Пышечка пшеничная высшего сорта 1кг,8
Головы цыплят замороженные,3
Сыр твердый ЭкоНива Dürr Zeller 55% БЗМЖ 200г,6
Лапша Big Bon Wok Курица в соусе терияки быстрого приготовления 85г,3
Макароны Barilla Risoni n.26 450г,8
Вода Святой источник негазированная 1.5л,9
Фарш говяжий Рестория 400г,7
Соус Рестория Сметанный с грибами 42% 233г,2
Хлеб Черемушки Столичный нарезка 330г,5
Хлопья Makfa овсяные традиционные 400г,8
Десерт творожный Epica Flavorite Груша-Ваниль-Грецкий орех 8.0% 130г,4
Булочки Коломенский пшеничные с кунжутом 3х60г,4
Смесь Mix Bar Коктейль сухофрукты и орехи 150г,7
Набор кондитерских изделий Fruit-Tella Письмо Волшебнику 199г,1
Масло льняное Селяночка нерафинированное 250мл,7
Готовый завтрак Любятово Медовые шарики и звездочки 420г,2
Торт Mirel Черничное молоко 750г,2
Суп Харчо Пятерочка Кафе 250г,4
Кофе Venetto натуральный растворимый 95г,8
Бананы Красная Цена фасованные,10
